Label,Encoding
addedLane,0
curveLeft,1
curveRight,2
dip,3
doNotEnter,4
keepRight,5
laneEnds,6
merge,7
noLeftTurn,8
noRightTurn,9
pedestrianCrossing,10
rampSpeedAdvisory20,11
rampSpeedAdvisory35,12
rampSpeedAdvisory40,13
rampSpeedAdvisory45,14
rampSpeedAdvisory50,15
rampSpeedAdvisoryUrdbl,16
rightLaneMustTurn,17
roundabout,18
school,19
schoolSpeedLimit25,20
signalAhead,21
slow,22
speedLimit15,23
speedLimit25,24
speedLimit30,25
speedLimit35,26
speedLimit40,27
speedLimit45,28
speedLimit50,29
speedLimit55,30
speedLimit65,31
speedLimitUrdbl,32
stop,33
stopAhead,34
thruMergeLeft,35
thruMergeRight,36
thruTrafficMergeLeft,37
truckSpeedLimit55,38
turnLeft,39
turnRight,40
yield,41
yieldAhead,42
zoneAhead25,43
zoneAhead45,44
